economy,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
CUB,,,,,,,,,,,,,,,,,,,,,
CUW,1.37912138094799,4.11711711711708,3.1149952409795,2.99572039942908,6.8763239367776,1.75331605427595,2.77944261312587,2.3325315256217,3.18398746349455,1.33232086152117,1.4987396961643,-0.476542049801405,-0.0472079848940293,1.58558801700345,2.58368756641814,2.62220783425059,,,,,
CYM,,,,,,,0.276140861750108,1.32543575779664,1.18894845245608,2.16061146813391,1.27397911533388,-2.34752770165615,-0.62525835861814,,,,,,,,
CYP,2.28621706801675,2.56016132330234,2.30468732978555,2.37265183669719,4.66900841902485,0.326276652249794,2.43004084102254,3.28944939564211,2.38905410042317,-0.399357676464426,-1.35498885446315,-2.0969976905311,-1.42916666666665,0.531766496174467,1.43549119531759,0.250370996758493,-0.638422797978959,2.44608867175474,8.39548297993334,3.54134188751663,1.80023018624815
CZE,2.76010781671157,1.8570978910922,2.53399258343635,2.85312437211175,6.35866380152373,1.01937735329232,1.47272727272722,1.9172191363555,3.28762306610411,1.4382978723404,0.343988589646794,0.309364548494975,0.683504209385703,2.4505339846014,2.14949494949493,2.8478759591805,3.16129528497801,3.83984491500146,15.1001651468371,10.6612601372426,2.43531202435314
DEU,1.66573696655992,1.54691114751328,1.57742642840563,2.29834400700951,2.62837981637219,0.312739007368447,1.1038103778926,2.07517283735874,2.00848884782956,1.50472330251876,0.906794000434246,0.514426137125456,0.491747008445174,1.50949485109628,1.73216879766942,1.44565976888253,0.144877925813982,3.06666666666673,6.87257438551097,5.94643667725823,2.2564981433876
DJI,3.12226204699354,3.10496640148298,3.48340699677866,4.96597654553301,11.9586206896552,1.67549587285964,3.95007875923885,5.0687139477799,3.73120950756887,2.70603242872182,1.34186494340157,-0.847389733971996,2.73841208738755,0.568112117084804,0.14797084987711,3.31925372703827,1.7774078380617,1.18191775339802,5.17980847967061,1.49506816515088,2.07655387954199
DMA,2.39410982050298,1.68190079877553,2.2023913263167,3.63222129317821,6.35992183336295,0.00626357107066859,2.99936630549,1.1312313652648,1.3567714780886,-0.0464116468805992,0.799250372687492,-0.84382698463833,0.141816225732312,0.296252889279487,0.98919111918989,1.50462353858141,1.22026442242476,2.22891330700344,2.88490226829353,5.08677483158112,2.56921890367726
DNK,1.15435693124932,1.81781458291254,1.92422138464594,1.69326586220315,3.41626794258373,1.30470991024337,2.31092436974789,2.7586822605125,2.3979148566464,0.789071780078062,0.56402054044954,0.452034153691575,0.250000000000031,1.14713216957602,0.813609467455631,0.75813157251162,0.420711974110115,1.8530454398968,7.6965669988926,3.30517811237606,1.37220049768918
DOM,51.4608598338065,4.19020260472056,7.57280523853074,6.14356655248047,10.6446210953712,1.44215131834353,6.32993220146146,5.79676809206533,3.69449707884777,4.830950967408,2.99864226125219,0.836746346724557,1.61416607245223,3.27955694678546,3.56443426013508,1.81060377042959,3.78103179915517,8.24300347981809,8.81109209279587,4.78561281021135,3.30223338951227
DZA,3.96180030257187,1.38244656662118,2.31149918514424,3.67899574741699,4.85859062814939,5.73706036145628,3.91106195534028,4.5242115050527,8.89145091062317,3.25423910998847,2.91692692067458,4.78444700693889,6.39769480268757,5.59111590961664,4.26999020467084,1.95176821052892,2.41513094083414,7.22606307415477,9.26551551551553,9.32217375928322,4.04611455313434
EAP,4.42677525782239,5.52861156446484,4.86632048837461,4.81676767378834,10.2266663272483,4.21903052064628,3.68901229670758,5.29573220295508,3.02696391124796,2.91354193604001,3.14299050879095,1.22393195511119,1.91731090233378,2.91263557371478,3.19834755924996,1.94257500833107,2.40629214387011,2.69891859529198,5.37734908193985,5.97802515541409,2.31848172887108
EAR,4.43526108410782,4.8217005071285,5.68713772607966,6.17781214809388,10.4469875128223,4.37376765455939,4.3974138315007,5.81149223300288,5.01827254237431,4.82778705505169,4.07392957476225,3.12900274473925,3.52317317628473,3.32817337461298,3.97561015740694,2.76252019386111,2.96354992076065,4.12676744440695,7.19861615609867,5.88585897042164,3.29589662451998
EAS,3.23751394003321,3.03702332617012,3.93616259929866,3.76400259181596,8.34208634920956,1.6217301400345,3.05730563962442,5.0214601462073,2.97460779814468,2.58268766141795,2.51087633253706,0.795279630579839,1.27699094497324,1.80034222468621,2.368549058067,1.70397863236257,0.846905537459305,2.47710241465447,5.34595440908904,5.21536927681554,2.3556272611928
ECA,6.92165787428846,7.87957982963885,7.66302693199397,8.59146682238974,11.4275575758332,3.43674527945797,6.77774669133379,7.8583333333334,3.31605566687647,4.59787897363136,3.06881210379543,4.02768573742726,2.13492713939121,4.60357355778862,2.56572880132719,2.64328192719554,2.74615078213777,6.91756771076075,13.8875841659221,9.07365149809048,3.48974086026947
ECS,2.82947796214663,2.60932308197748,3.19288637808747,2.91598261872856,6.05974046339707,1.53607650014279,2.42447361791628,3.8561124468282,2.77333854051586,1.73403963519162,0.620490636732421,0.36804684232536,0.388838296895799,1.91558846458259,2.01321972250337,1.76373586528842,1.19998396936028,3.19017771027094,11.1136121878761,7.120422120899,2.75760909424272
ECU,2.74323198926704,2.1682770118372,3.29874846258215,2.27618478002121,8.40009593987462,5.15996829181047,3.55437734567843,4.4745326579584,5.10172180958666,2.72177577710371,3.58922016616663,3.96664623255358,1.72826463324533,0.417335588666825,-0.224103246005552,0.266012515466155,-0.338872392562139,0.133251386096389,3.46616972213077,2.21568764237058,1.54732515615369
EGY,11.270619332052,4.86939696871988,7.64452644526434,9.3189690579923,18.3168316831684,11.7634954386443,11.2651882653185,10.0649259874818,7.11172943343083,9.46971981064921,10.0702154687481,10.370490343517,13.813606214829,29.5066083940039,14.4014657807422,9.15279959324804,5.04493288977539,5.21404940513043,13.8956609775178,33.8847763115546,28.2705899322083
