Year,Edu_Spending_GDP,GDP_per_Capita,Health_Spending_GDP,Internet_Usage,Learning_Outcome,Unemployment_Rate,Population_Total,Inflation_Rate,Trade_Openness_GDP
2006,4.4361671818372,6047.73425729833,6.72683675072209,20.7,95.6390533447266,7.61413600233204,561751999.0,4.25195321977967,45.9540681003448
2007,4.51013570469261,7035.79917204558,6.88777000809115,23.7,97.3306198120117,7.22630490484512,568345245.0,4.57808572377153,45.9557967503131
2008,4.81184784387485,8077.9658893562,6.94938940567473,26.4,97.4248428344727,6.83921032197309,574908733.0,8.10810810810782,47.6995569794944
2009,5.19282449074305,7495.05944025108,7.51163032743395,31.0,98.3635482788086,7.81478715032184,581388129.0,2.50049988756383,40.940079773211
2010,5.13376408835725,9183.9687871441,7.22054767612355,34.6,98.868049621582,7.21826756521545,587752505.0,3.491288726188,43.5680259737873
2011,5.14615049659738,10334.20548878,7.14018521357703,39.3,99.1697082519531,6.71534566285068,594086829.0,4.9777356370697,46.0158503795606
2012,5.19363227793866,10330.3504679629,7.13982803813923,43.0,99.8715133666992,6.42118292240463,600420316.0,3.78180754679678,45.5736873355361
2013,5.12337302562737,10306.1195798788,7.30104388458959,46.1,99.4533462524414,6.37856594564285,606683307.0,2.5286478853837,45.1883218571138
2014,5.25871295545805,10145.7982098874,7.44855296174484,48.7,99.8396224975586,6.18310613899891,612849401.0,3.38341272749477,44.6508392407729
2015,5.41187541705616,8547.2373391789,7.8028797780802,54.4,98.3829498291016,6.67695891386519,618868462.0,1.86148302863371,44.9877681580977
2016,5.38151680259042,8241.45140922665,7.87340946386778,57.5,97.8241882324219,7.73682468877475,624737786.0,1.65038994431573,44.0323870896011
2017,5.3441192646409,9065.54817792867,8.05351034098995,60.2,96.5334701538086,8.02820612705932,630414986.0,2.19201010962985,44.339169550185
2018,5.17372097595006,8778.37906311973,7.81493688121767,63.5,95.6381607055664,7.93331984460849,635778081.0,2.37951733360489,48.1959088759379
2019,5.13856122041947,8539.39776066424,7.8656829114729,67.8,95.2948989868164,8.00061467672947,640962372.0,2.37167859363036,47.7128393460766
2020,5.00885680439969,7168.64740599577,8.36319772314701,73.8,95.3600234985352,10.214072797585,645498186.0,1.49389017299587,45.9770000487609
2021,4.97208286418422,8291.07156305024,8.30086541481328,75.8,96.0848007202148,9.14468415154641,649236072.0,3.87805442411131,52.6180279123337
2022,4.97208286418422,9408.84820249156,7.95442538225403,77.1,95.6000900268555,6.93153209123054,653108120.0,7.71367726901419,56.0555033079967
2023,4.97208286418422,10508.6472548025,7.94219123716982,80.0,96.4864730834961,6.19254754786298,657616517.0,4.78561281021135,48.7488299726888
2024,4.97208286418422,10737.6463538652,7.94219123716982,81.7,96.4503784179688,5.86943268920785,662186388.0,3.46497037946077,49.5102651484456
2004,2.39388867808031,419.798333896443,4.01813866656054,0.7,53.4617118835449,4.8461040020584,742717957.0,4.53421374129692,51.6208950477031
2005,2.42439536881485,487.199978520551,3.96162746579203,0.7,55.9013595581055,4.78617235413845,760741611.0,7.5640806170987,55.1769415844311
2006,2.46243513143129,552.743616465105,4.103316055047,1.0,57.4561309814453,4.66743315924375,779230030.0,6.85246617854622,55.1929432910406
2007,2.52029076775261,648.581446944078,4.15668492582653,1.8,58.5344581604004,4.72846171671699,797516000.0,7.78556896236768,59.9245979920069
2008,2.5799336294584,778.614114766785,4.03735009279716,2.2,60.2453918457031,4.78615582186984,816268129.0,11.010388006835,63.7796251975422
2009,2.66142144406711,751.671383860855,4.30949632873749,2.6,63.6790084838867,4.88165129097702,835687108.0,4.56150687670983,58.8172561471287
2010,2.66750695914544,831.532954611079,3.9954856734643,3.3,64.1556625366211,4.75657307667184,855348118.0,5.04968075857402,58.3339949057173
2011,2.78128007173494,925.130488690388,3.88840635192952,4.0,65.2355194091797,4.85581288914548,875685078.0,6.61038986512481,60.3791468535262
2012,2.80575634387777,947.489031265643,3.80374235500118,4.8,65.9843215942383,4.84447014073901,896684951.0,6.31474450315177,59.0169463026792
2013,2.7990843267182,1006.9873103895,3.97116353557886,6.0,66.3596572875977,4.78810702335574,918269633.0,5.52412877994266,58.5601483628962
2014,2.84542683093979,1056.46705317141,3.99483637019119,8.2,67.2632522583008,4.7478845482911,940284138.0,4.40535234185293,55.8805334038006
2015,2.72647525849,982.894810600519,4.17498685029764,10.7,67.588493347168,4.82634268692319,962508256.0,3.40274327737188,50.5046218869376
2016,2.58692452734256,966.721782937566,4.13599579520282,13.8,68.610107421875,4.8918256789537,985414939.0,5.34414600997244,46.9182004792284
2017,2.57793947669229,1035.19428808636,3.97551026692723,16.2,69.6202163696289,4.95273324976286,1008993468.0,4.5725365531752,47.0303880111819
2018,2.53306595341207,1080.56177999961,3.82023182338908,19.5,70.8211517333984,4.87642905613966,1033110314.0,3.46147484973729,51.4619437897655
2019,2.42265008630639,1105.24693378698,3.64897753566729,21.2,70.9162902832031,4.87319739899668,1058013514.0,3.32255881256925,50.5670353723756
2020,2.39763982053963,1088.72161311357,3.80641352643676,24.1,71.5204467773438,5.5984272213638,1083636132.0,4.33296874711709,46.4710756098043
2021,2.41320705943034,1175.55718251136,3.91714309031019,26.1,72.2014236450195,5.73427333521409,1109175268.0,4.15649125482107,50.6793063452731
2022,2.41320705943034,1299.36172423082,3.66633157726896,28.2,71.0405731201172,5.05048767454214,1134585604.0,9.45801281304023,51.1776652951198
2023,2.41320705943034,1257.69806699331,3.60542517790876,29.9,70.3941879272461,4.69874423007014,1160824674.0,7.12697482131851,48.6038661639311
2024,2.41320705943034,1293.40100322932,3.60542517790876,31.4,70.3004302978516,4.63004995634959,1187777591.0,4.50346801326901,47.220088076024
2004,2.63279907189003,442.426324281659,4.84071897638501,1.0,49.379451751709,5.3392187143993,361305645.0,4.21376268767905,48.6063117569923
2005,2.58341034105594,520.301355916657,4.80333094687825,1.0,52.0348892211914,5.21172201002053,371788197.0,8.16954604881263,50.571418588745
2006,2.61541958156122,586.100552264911,5.02750279694235,1.3,53.454029083252,5.24784805048287,383041001.0,7.25490301838286,50.3964342429412
2007,2.61549834443536,689.11060676483,5.16574506329927,2.5,54.702018737793,5.29597392001895,394448347.0,7.9051177898873,53.5472553943677
2008,2.6170283053091,799.484016576029,4.96380799356405,3.0,57.1651992797852,5.45345736405232,405862712.0,11.3051098827019,57.722908719797
2009,2.77149848258341,752.635927287489,5.38469625071946,3.7,60.1872787475586,5.31468315669829,417577386.0,4.78389024602515,52.149598245542
2010,2.72852631857523,825.735188857174,4.96208412120461,4.3,60.7138481140137,5.51303315496083,429515596.0,4.18698335814119,54.1509064901303
2011,2.87252056024442,869.718827485855,4.75336465974278,4.9,60.2546691894531,5.5705246218048,441658754.0,7.20710277400571,54.1806322591223
2012,2.89581889393114,773.887672422173,4.86697630308422,5.4,60.5722312927246,5.71453832728629,453652889.0,6.70977471405567,51.9490628118335
2013,2.8891744034532,772.500259604632,5.38222945659011,6.0,59.2167701721191,5.48279393151345,465087882.0,5.61162933815824,52.765486620292
2014,2.99388823617166,794.990235916855,5.5687687376098,6.9,60.1758193969727,5.44258392070706,476470767.0,3.74052951571967,50.8397694755724
2015,2.85964593616825,740.889503942237,5.67181541495217,7.9,60.4505310058594,5.57163904609693,488308267.0,4.37712665065654,45.416564121708
2016,2.74652695695868,633.792954627598,5.91637020393631,10.0,61.5524787902832,5.67889736815337,501149314.0,5.70637504616212,48.5507451991774
2017,2.78587487278276,634.710788724745,5.79061253561363,11.4,62.2863388061523,5.7737832478316,514890519.0,8.15686323403372,51.7746272639688
2018,2.84813018003531,645.846067078284,5.43174188606476,13.8,63.5371017456055,5.64351076657552,529522043.0,2.79180778478365,56.4951992992836
2019,2.8152760659479,645.998249720369,5.17144309388878,16.4,64.2559432983398,5.63457466701478,544980983.0,2.83514555687506,54.4200923809362
2020,2.85300494401891,605.437906755342,5.72167000602149,17.6,64.9923477172852,6.20058805376737,560643073.0,4.46414437232861,51.0254007187152
2021,2.85418985193125,651.812637638679,5.67795255280455,19.0,65.3699493408203,6.24785467368709,576076618.0,5.13320340824963,55.6982111941393
2022,2.85418985193125,734.204117595357,5.44709384126617,21.2,63.8962707519531,5.672232196208,591481496.0,9.62147608489064,54.7546157525203
2023,2.85418985193125,714.151764242762,5.27632413209386,22.0,62.9396781921387,5.46615429632441,607774703.0,7.11459205344455,52.6715630995498
2024,2.85418985193125,751.322764042233,5.27632413209386,22.5,62.9396781921387,5.25027271966889,624608098.0,4.19081721344523,55.570177664087
2004,2.13090909090909,1028.62068132555,4.03912592,1.44616,94.7340393066406,8.38,20087605.0,7.57592582995856,79.4829449011187
2005,2.05272727272727,1207.21994764165,3.87908745,1.79205,94.7340393066406,7.67,20216524.0,11.6396860971118,73.6039729580533
2006,1.97454545454545,1388.89739119932,3.85019565,2.53757,94.0302581787109,6.5,20352411.0,10.0201836057035,71.2611784883009
2007,1.89636363636365,1578.63451125392,3.82258177,3.88,92.1915512084961,5.97,20492545.0,15.8421114924843,68.6065116601391
2008,1.81818181818183,1973.58476901287,3.85482955,4.825714285714286,88.3885192871094,5.22,20629378.0,22.5644955300126,63.369043608222
2009,1.74,2026.65939950702,4.05676842,5.771428571428571,90.1033096313477,5.85,20756435.0,3.46496322106074,49.1491415308235
2010,1.7,2808.36244503709,3.7414515,6.717142857142857,96.0871902701128,4.784,20879089.0,6.2176488930462,48.77727974383318
2011,1.68,3224.95745150496,3.5819521,7.662857142857143,98.4259885080696,4.118,21009048.0,6.7167684358854,48.40541795684287
2012,1.43,3327.77613691283,3.30659294,8.608571428571429,95.3066194884577,3.88,21169458.0,7.54291373239437,48.033556169852545
2013,1.29867806087484,3739.43181100202,3.69365358,9.554285714285715,95.4740551572261,4.186,20585000.0,6.90845034828452,47.66169438286223
2014,1.58570039503291,3972.04375736464,3.46786141,10.5,94.3789864415135,4.157,20778000.0,3.1790022823606,47.289832595871914
2015,1.84302852419592,4057.7158346231,3.6826396,15.26,94.566247939217,4.519,20970000.0,3.76836783062096,46.9179708088816
2016,2.51202211780375,4149.19190775593,3.61788416,22.19,96.3326649097638,4.242,21209000.0,3.9588884659307,46.4715370252187
2017,2.29577460369932,4398.88828068715,3.33093429,25.1,97.5554388348901,4.046,21453000.0,7.70413767850602,47.1404098004644
