economy,Year,Edu_Spending_GDP,GDP_per_Capita,Health_Spending_GDP,Internet_Usage,Learning_Outcome,Unemployment_Rate,Population_Total,Inflation_Rate,Trade_Openness_GDP,GFCF_GDP,Population_Growth,Labor_Force
PST,2021,4.37446568498363,49855.2269396596,13.8015877871673,,98.7913284301758,5.80601878307517,1116582773.0,2.50835221473776,57.3497614199247,22.355807944049,-0.038028730230042,565488075.0
PST,2022,,50969.801641014,13.3618138462269,,96.4713363647461,4.52601118181449,1117394729.0,7.87737003690613,64.4700799127373,22.4025767409387,0.0726915141290977,551980094.0
PST,2023,,53813.7418308678,13.2616907140419,,96.690071105957,4.469610886267,1121315547.0,5.09396758978883,60.2975474441614,22.368196448283,0.350275071395141,559591161.0
PST,2024,,55644.314789934,,,96.5803833007812,4.61212469541954,1128377826.0,2.44091572720697,59.3011266026333,22.0866227188204,0.627845757449373,564089035.0
PYF,2004,0.499851816078,21764.2203208782,,17.8845,,11.702,255654.0,,,,1.58373949574295,103335.0
PYF,2005,0.499851816078,21984.1936230719,,21.5422,,11.722,259507.0,,58.8757396449704,24.0238879284824,1.49587093988006,105133.0
PYF,2006,0.499851816078,22330.8676659055,,25.108,,11.768,263223.0,,56.6132574828647,21.8658427654155,1.42179044575073,106958.0
PYF,2007,0.499851816078,24888.1781337361,,28.59,,11.74,266438.0,,57.455468093766,22.0795122922782,1.21399894849188,108503.0
PYF,2008,0.499851816078,26592.0262835732,,33.87,,11.76,268379.0,,58.0396477672874,23.6192446580514,0.725858946942358,110126.0
PYF,2009,0.499851816078,24434.2197555208,,44.6,,11.963,269481.0,,51.6750777052154,21.2501353517459,0.409772633029491,111386.0
PYF,2010,0.499851816078,22494.806706186,,49.0,,12.133,270580.0,,54.0438821122259,21.3911151590594,0.406991623911333,112569.0
PYF,2011,0.499851816078,22831.5185348524,,49.0,,12.257,271727.0,,56.2319854247632,18.2181058584856,0.423008262968887,113689.0
PYF,2012,0.499851816078,20846.5457478364,,52.8766,,12.134,273084.0,,57.8806819793666,18.5225671624855,0.498155436017889,114831.0
PYF,2013,0.499851816078,21955.6329264095,,56.8,,12.027,274728.0,,56.0619675585513,19.2753722131297,0.600207711920296,115819.0
PYF,2014,0.499851816078,22258.6321384251,,60.68,,11.894,276387.0,,56.2324578944225,18.7512101903912,0.602054021803628,116869.0
PYF,2015,0.499851816078,19166.9594761931,,64.5602,,11.794,277866.0,,55.6304686354336,19.9241635999246,0.53369255935478,117940.0
PYF,2016,0.499851816078,19690.0775734589,,68.4404,,11.727,279178.0,,53.6164949427793,18.6047335720481,0.471058812613167,118991.0
PYF,2017,0.499851816078,20826.9312492172,,72.7039,,11.595,280087.0,,54.5776905038178,19.137286086385,0.325069797127642,119997.0
PYF,2018,0.499851816078,21925.616043938,,,,11.599,279815.0,,65.0146628512067,27.0467501379179,-0.0971598677616479,120471.0
PYF,2019,0.499851816078,21582.5892046801,,,,11.591,279034.0,,63.3061124024003,25.3054954915658,-0.279503231980126,120839.0
PYF,2020,0.499851816078,19966.4838503859,,,,12.963,279209.0,,45.8331834386023,21.2855657369767,0.0626967129843171,119656.0
PYF,2021,0.499851816078,21426.3854449835,,,,12.558,279792.0,,52.9788183937695,22.0083668171371,0.208586464560115,120135.0
PYF,2022,,20053.9569369322,,,,11.793,280378.0,,69.5264023221442,22.50674340275,0.209222276724143,120561.0
PYF,2023,,21832.2831795569,,,,11.613,281118.0,,71.672203765227,22.6504245108896,0.263581727538977,120388.0
PYF,2024,,22439.8838746025,,,,11.613,281807.0,,64.4688665693732,21.9053653809211,0.244792945440769,120370.0
QAT,2004,2.03922402452169,41035.5008380177,3.18311739,20.7016,,0.87,773332.0,6.79933665008279,90.3724288385622,,3.77511702353838,495587.0
QAT,2005,1.97941801839125,53949.6764091147,2.56300044,24.7335,84.3937911987305,0.87,825408.0,8.81439532334683,94.7455441696331,,6.51693576890975,527969.0
QAT,2006,1.91961201226083,62582.4453138755,2.288064,28.9741,86.7803192138672,0.87,972831.0,11.8358096197431,98.570919313572,,16.4332567938557,650369.0
QAT,2007,1.85980600613043,65954.3419525051,2.07008052,37.0,92.008659362793,0.52,1208595.0,13.7581625759964,96.1141057101106,,21.700342942038,862514.0
QAT,2008,1.8,80781.4039187792,1.63775349,44.3,95.3380279541016,0.31,1426938.0,15.0501451570333,89.4328416546905,,16.6072361839519,1049476.0
QAT,2009,1.92868311301577,60785.7351551657,2.38356304,53.1,98.1576309204102,0.31,1608903.0,-4.86327801622565,80.1441629727012,,12.0021690542876,1196250.0
QAT,2010,2.05736622603152,76462.6119486736,1.87017763,69.0,,0.45,1616832.0,-2.42525675161714,87.1111970364642,,0.491609879237911,1205149.0
QAT,2011,2.18604933904731,103261.510293068,1.599962,69.0,97.8007945516459,0.56,1624761.0,1.13836623529202,98.7216351018991,,0.489204894825294,1205722.0
QAT,2012,2.31473245206311,108470.387023229,1.74822152,69.3,,0.48,1722438.0,2.31534853431661,105.746286433535,,5.83800010216327,1270559.0
QAT,2013,2.4434155650789,103697.062789144,2.07620168,85.3,94.7919201752251,0.28,1916426.0,3.22197756829293,102.383154379024,,10.6721263976401,1411555.0
QAT,2014,2.57209867809471,95840.6898934238,2.42293572,91.49,89.2091446073069,0.2,2151745.0,3.34972085659523,99.0343138952759,,11.5817147814941,1597750.0
QAT,2015,2.48475411574112,68985.2433380102,3.63581347,92.8848,94.3687080536913,0.17,2344557.0,1.8140772393776,93.7076739370818,,8.58173306173289,1760771.0
QAT,2016,2.39740955338752,61253.6217997091,3.54971433,95.1247,95.5435154000098,0.15,2477113.0,2.6765917009819,89.5476231430097,,5.49972976958708,1869946.0
QAT,2017,2.31006499103394,63279.8767486216,3.21237087,97.3888,99.1126010648787,0.14,2545820.0,0.394878914083005,91.4945574785855,,2.73590293320866,1921542.0
QAT,2018,2.37937686992575,71039.9308240078,2.96176219,99.6528,99.8243281739626,0.11,2580734.0,0.255815382724408,91.838343273294,,1.3621056096195,1943088.0
QAT,2019,2.44868874881754,66841.3623185691,3.18468714,99.6528,100.507363505747,0.1,2638657.0,-0.666641124861147,90.0462934117559,,2.21962210028933,1971250.0
